Pesan,Kategori
"Pergi sampai jurong point, gila.. Hanya tersedia di bugis n great world la e buffet... Cine there got amore wat...",ham
Ok lar... Bercanda denganmu oni...,ham
Entri gratis dalam 2 minggu berturut-turut untuk memenangkan tkt final Piala FA 21 Mei 2005. Kirim SMS ke FA ke 87121 untuk menerima pertanyaan entri (tingkat txt std) S&K berlaku 08452810075over18,spam
"Kamu tidak bilang pagi-pagi sekali, hor... Kamu sudah bilang...",ham
"Tidak, menurutku dia tidak pergi ke usf, dia tinggal di sekitar sini",ham
"FreeMsg Hai sayang, sekarang sudah 3 minggu dan tidak ada kabar kembali! Aku masih ingin bersenang-senang? Ya oke! XxX std chgs untuk dikirim, å£1,50 ke rcv",spam
Bahkan saudara laki-laki saya tidak mau berbicara dengan saya. Mereka memperlakukan saya seperti pasien AIDS.,ham
"Sesuai permintaan Anda, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' telah ditetapkan sebagai nada pemanggil Anda untuk semua Penelepon. Tekan *9 untuk menyalin Callertune teman Anda",ham
"PEMENANG!! Sebagai pelanggan jaringan yang berharga, Anda telah terpilih untuk menerima hadiah hadiah sebesar å£900! Untuk klaim hubungi 09061701461. Kode klaim KL341. Berlaku 12 jam saja.",spam
Apakah ponsel Anda berumur 11 bulan atau lebih? Anda berhak untuk Memperbarui ponsel berwarna terbaru dengan kamera secara Gratis! Hubungi Mobile Update Co GRATIS di 08002986030,spam
"Aku akan segera pulang dan aku tidak ingin membicarakan hal ini lagi malam ini, oke? Aku sudah cukup menangis hari ini.",ham
"ENAM peluang memenangkan UANG TUNAI! Dari 100 hingga 20.000 pound txt> CSH11 dan kirim ke 87575. Biaya 150p/hari, 6 hari, 16+ TsandCs berlaku Balas info HL 4",spam
MENDESAK! Anda telah memenangkan keanggotaan GRATIS selama 1 minggu di Jackpot Hadiah å£100.000 kami! Txt kata : KLAIM ke No : 81010 S&K www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18,spam
Saya telah mencari kata-kata yang tepat untuk berterima kasih atas nafas ini. Saya berjanji tidak akan menerima begitu saja bantuan Anda dan akan memenuhi janji saya. Anda luar biasa dan menjadi berkah sepanjang waktu.,ham
SAYA PUNYA TANGGAL DI HARI MINGGU DENGAN WILAYAH!!,ham
"XXXMobileMovieClub: Untuk menggunakan kredit Anda, klik link WAP di pesan txt berikutnya atau klik di sini>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam
Oh k...aku menonton di sini :),ham
"Eh, kamu ingat bagaimana mengeja namanya... Ya, aku ingat. Dia bertingkah sangat nakal sampai aku basah.",ham
Baik jika itu yang kamu rasakan. Begitulah caranya,ham
"Inggris v Makedonia - jangan lewatkan gol/berita tim. Kirim SMS tim nasional Anda ke 87077 misalnya INGGRIS ke 87077 Coba: WALES, SKOTLANDIA 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",spam
Apakah itu serius caramu mengeja namanya?,ham
Saya akan mencobanya selama 2 bulan ha ha hanya bercanda,ham
Jadi Ì_ ​​bayar dulu lar.. Lalu kapan stok da keluar..,ham
"Setelah aku selesai makan siang, lalu aku turun ke bawah. Dan 3 kali lagi. Kamu sudah menyelesaikan makan siangmu?",ham
"Fffffffff. Baiklah, tidak mungkin aku bisa bertemu denganmu lebih cepat?",ham
Hanya memaksakan diriku untuk makan sepotong. Aku benar-benar tidak lapar. Ini menyebalkan. Mark semakin khawatir. Dia tahu aku sakit ketika aku menolak pizza. Tertawa terbahak-bahak,ham
Lol kamu selalu begitu meyakinkan.,ham
Apakah kamu naik bus? Apakah kamu sedang menggoreng telur? Apakah kamu membuat teh? Apakah kamu memakan sisa makan malam ibumu? Apakah kamu merasakan cintaku?,ham
"saya kembali &amp; kami sedang mengemasi mobilnya sekarang, saya akan memberi tahu Anda jika masih ada ruang",ham
Ahhh. Bekerja. Aku samar-samar mengingatnya! Seperti apa rasanya? Tertawa terbahak-bahak,ham
"Tunggu, itu masih belum jelas, apa kamu tidak yakin aku sedang menyindir atau itu sebabnya x tidak mau tinggal bersama kita",ham
"Ya, dia masuk jam 2 dan sangat menyesal. n terjatuh dan dia bertingkah seperti anak manja dan dia terjebak di dalamnya. Sampai jam 2! Tapi kami tidak akan pergi ke sana! Tidak melakukan hal yang terlalu buruk, bersorak. Anda?",ham
Ceritakan padaku apa pun tentangmu.,ham
Karena takut pingsan karena semua pekerjaan rumah yang baru saja Anda lakukan? Cepat minum secangkir teh,ham
"Terima kasih telah berlangganan Ringtone UK, ponsel Anda akan dikenakan biaya £5/bulan. Harap konfirmasi dengan membalas YA atau TIDAK. Jika Anda menjawab TIDAK, Anda tidak akan dikenakan biaya",spam
"Yup... Oke, aku pulang, lihat waktunya, lalu aku pesan Ì_ lagi... Xuhui akan belajar pada tanggal 2 Mei juga, tetapi pelajarannya jam 8 pagi",ham
"Ups, aku akan memberitahumu kalau teman sekamarku sudah selesai",ham
Saya melihat huruf B di mobil saya,ham
Apa pun untuk... Kamu putuskan...,ham
Halo! Bagaimana kabarmu dan bagaimana hari Sabtunya? Aku baru saja mengirim pesan untuk mengetahui apakah kamu memutuskan melakukan sesuatu. Bukannya aku mencoba mengundang diriku sendiri atau apa pun!,ham
Tolong lanjutkan dengan watt. Saya hanya ingin memastikan. Semoga akhir pekanmu menyenangkan. Abiola,ham
"Apa aku lupa memberitahumu? Aku menginginkanmu, aku membutuhkanmu, aku mendambakanmu... Tapi yang terpenting... Aku mencintaimu, kuda Arabku yang manis... Mmmmmm... Enaknya",ham
07732584351 - Rodger Burns - MSG = Kami mencoba menghubungi Anda untuk membalas sms kami untuk ponsel nokia gratis + camcorder gratis. Silakan hubungi sekarang 08000930705 untuk pengiriman besok,spam
SIAPA YANG KAMU LIHAT?,ham
Besar! Saya harap Anda menyukai pria Anda yang diberkahi dengan baik. Saya &lt;#&gt;  inci...,ham
Tidak ada panggilan..pesan..panggilan tak terjawab,ham
Bukankah kamu sudah mendapat imunisasi hep b di nigeria.,ham
"Cukup adil, ada apa?",ham
"Ya mudah-mudahan, jika tyler tidak bisa melakukannya, aku mungkin bisa bertanya-tanya sedikit",ham
Kamu tidak tahu betapa keras kepala aku. Aku bahkan tidak ingin pergi ke rumah sakit. Aku terus mengatakan pada Mark bahwa aku bukanlah orang yang lemah. Rumah sakit diperuntukkan bagi mereka yang lemah.,ham
Apa yang kamu pikirkan tentangku. Pertama kali kamu melihatku di kelas.,ham
"Satu gram biasanya berjalan seperti &lt;#&gt; , setengah seperdelapan lebih pintar dan memberi Anda hampir satu gram kedua untuk &lt;#&gt;",ham
K fyi x ada tumpangan besok pagi tapi dia mogok di tempat kita malam ini,ham
"Wow. Saya tidak pernah menyadari bahwa Anda begitu malu dengan akomodasi Anda. Saya pikir Anda menyukainya, karena saya telah melakukan yang terbaik yang saya bisa dan Anda selalu tampak sangat bahagia dengan \gua itu\"". Maaf saya tidak melakukannya dan tidak punya lebih banyak untuk diberikan. Maaf saya menawarkan . Maaf kamarmu sangat memalukan.""",ham
SMS. ac Sptv: The New Jersey Devils dan Detroit Red Wings bermain Hoki Es. Benar atau Salah? Akhir? Jawab AKHIR SPTV,spam
Tahukah Anda apa yang dilakukan Mallika Sherawat kemarin? Cari tahu sekarang di &lt;URL&gt;,ham
"Selamat! Tiket masuk bioskop spesial 1 tahun untuk 2 orang adalah milik Anda. hubungi 09061209465 sekarang! C Suprman V, Matrix3, StarWars3, dll semuanya GRATIS! bx420-ip4-5we. 150 malam. Jangan lewatkan!",spam
"Maaf, saya akan menelepon nanti saat rapat.",ham
Beritahu di mana Anda mencapainya,ham
Ya..gauti dan sehwag keluar dari seri odi.,ham
Anda harus membeli burger seharga $1 untuk diri Anda sendiri dalam perjalanan pulang. Aku bahkan tidak bisa bergerak. Rasa sakit membunuhku.,ham
Ha ha ha lelucon yang bagus. Anak perempuan adalah pencari situasi.,ham
Itu bagian dari pengecekan IQ,ham
"Maaf teman sekamarku butuh waktu lama, bolehkah aku datang sekarang?",ham
"Oke, aku periksa lagi apakah penata rambut sudah dia bilang akan potong pendek. Katanya akan dipotong sampai aku terlihat bagus.",ham
"Sebagai pelanggan yang berharga, saya dengan senang hati memberi tahu Anda bahwa setelah peninjauan terbaru terhadap Nomor Mob Anda, Anda akan diberikan Hadiah Bonus å£1500, hubungi 09066364589",spam
"Hari ini adalah hari persembahan lagu..\""Lagu apa yang akan kau persembahkan untukku? Kirimkan ini ke semua temanmu yang berharga, tetapi balas aku dulu...""",ham
"UR yang mendesak diberikan perjalanan gratis ke EuroDisinc Trav, Aco&Entry41 Atau å£1000. Untuk mengklaim txt DIS ke 87121 18+6*å£1,50(moreFrmMob.ShrAcomOrSglSuplt)10, LS1 3AJ",spam
"Pernahkah Anda mendengar tentang \Divorce Barbie\"" yang baru? Dilengkapi dengan semua barang Ken!""",spam
Saya berencana untuk memberi pada akhir bulan ini.,ham
Wah beruntungnya kawan... Nanti bisa hemat... Hee...,ham
Selesai kelas dimana kamu.,ham
HI SAYANG AKU DI RUMAH SEKARANG INGIN MELAKUKAN SESUATU? XX,ham
K..k :) dimana kamu? bagaimana penampilanmu?,ham
Kamu bisa meneleponku sekarang...,ham
aku menunggu Machan. Hubungi saya setelah Anda bebas.,ham
Itu keren. saya seorang pria terhormat dan akan memperlakukan Anda dengan bermartabat dan hormat.,ham
"Aku sangat menyukai kalian semua:) tapi aku sangat pemalu, pa.",ham
Tidak beroperasi setelah &lt;#&gt; atau apa,ham
Ini tidak sama di sini. Masih mencari pekerjaan. Berapa penghasilan Ta di sana.,ham
"Maaf, saya akan menelepon lagi nanti",ham
K. Apakah kamu baru saja meneleponku ah?,ham
"Oke, aku sedang dalam perjalanan pulang, hai, hai",ham
Anda akan berada di tempat pria itu,ham
Yup perhentian berikutnya.,ham
"Saya menelepon Anda nanti, tidak memiliki jaringan. Jika mendesak, sms saya.",ham
Sebenarnya kapan kamu mendekatimu? Saya hanya perlu 2 tiket lagi dan satu jaket lagi dan selesai. Saya sudah menggunakan semua multis saya.,ham
"Ya, saya mulai mengirimkan permintaan untuk melakukannya tetapi rasa sakit kembali muncul jadi saya kembali ke tempat tidur. Koin ganda di pabrik juga. Aku harus menguangkan semua nitroku.",ham
Aku benar-benar tidak sanggup melakukannya malam ini sayang,ham
"Ela kano., unduh, gratis..",ham
"Ya, lakukan! Jangan berdiri untuk menutupnya - Anda akan menangkap sesuatu!",ham
Maaf merepotkan. Bolehkah kita bertemu satu malam lagi? Aku menghabiskan sore hari sebagai korban dan itu berarti aku belum melakukan hal apa pun dan itu termasuk semua lembar waktuku dan itu. Maaf.,ham
Tersenyumlah dalam Kesenangan Tersenyumlah dalam Kepedihan Tersenyumlah ketika masalah datang seperti Hujan Tersenyumlah ketika jumlah1 Menyakitimu Tersenyumlah karena SESEORANG masih Senang melihatmu Tersenyum!!,ham
Silakan hubungi perwakilan layanan pelanggan kami di 0800 169 6031 antara pukul 10.00-21.00 karena Anda telah MENANGKAN jaminan uang tunai sebesar å£1000 atau hadiah sebesar å£5000!,spam
Belum berencana untuk membeli nanti. Saya periksa sudah lido hanya mendapat 530 pertunjukan di sore hari. Kamu sudah selesai bekerja?,ham
"Nada dering gratis Anda menunggu untuk dikumpulkan. Cukup SMS kata sandi \MIX\"" ke 85069 untuk memverifikasi. Hubungi Usher dan Britney. FML",spam
Menonton film telugu..apa tentang kamu?,ham
"jadi begitu. Ketika kami selesai, kami memiliki banyak pinjaman yang harus dibayar",ham
"Hai. Apa baik-baik saja - selamat tinggal sekarang! Ya, untuk berlari sebentar. Lupa kalau aku ada janji penata rambut jam empat jadi harus pulang dan mandi terlebih dahulu. Apakah itu menimbulkan masalah bagimu?\""daging""",ham
Tolong jangan kirimi aku pesan lagi. Saya tidak bisa berkata apa - apa.,ham
Oke sebutkan harganya asalkan legal! Bisakah aku mengambilnya? Kamu sudah x ams xx,ham
Saya masih mencari mobil untuk dibeli. Dan belum mengikuti tes mengemudi.,ham
"Sesuai permintaan Anda, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' telah ditetapkan sebagai nada pemanggil Anda untuk semua Penelepon. Tekan *9 untuk menyalin Callertune teman Anda",ham
"Wow. Kamu benar! Saya tidak bermaksud melakukan itu. Saya kira begitu saya menyerah pada boston men dan mengubah lokasi pencarian saya ke nyc, sesuatu berubah. Karena di halaman masuk saya masih tertulis boston.",ham
Umma hidupku dan vava umma sangat mencintaimu sayang,ham
Terima kasih banyak atas ucapanmu di hari ulang tahunku. Terima kasih telah membuat ulang tahunku benar-benar berkesan.,ham
"Baiklah, aku akan menghubungimu saat aku mendapat uang tunai",ham
Bagaimana alamat ip saya mengujinya mengingat komputer saya bukan server minecraft,ham
Aku tahu! Orang tua yang pemarah. Ibuku bilang sebaiknya kamu tidak berbohong. Lagipula akulah yang selalu bercanda...,ham
Jangan khawatir. Kurasa dia sedang sibuk.,ham
Apa bentuk jamak dari kata benda penelitian?,ham
"Pergi makan malam, kirim pesan padamu setelahnya.",ham
"Aku baik-baik saja karena aku suka mencoba hal-hal baru. Tapi aku membuatmu takut, tidak seperti Mah. Karena kamu bilang jangan terlalu keras.",ham
GENT! Kami mencoba menghubungi Anda. Pengundian akhir pekan lalu menunjukkan bahwa Anda memenangkan hadiah å£1000 DIJAMIN. Hubungi 09064012160. Kode Klaim K52. Hanya berlaku 12 jam. 150ppm,spam
"Wa, kalimat pembukamu sangat formal... Pokoknya, aku juga baik-baik saja, tapi aku makan terlalu banyak dan menambah berat badan...Haha... Jadi, ada hal istimewa yang terjadi?",ham
"Saat saya memasuki kabin, PA saya berkata, ''Selamat Ulang Tahun Bos!!''. Saya merasa istimewa. Dia memintaku jam 4 siang. Setelah makan siang dia mengundang saya ke apartemennya. Kami pergi ke sana.",ham
Anda adalah pemenang Anda telah dipilih secara khusus 2 menerima å£1000 atau liburan 4* (penerbangan inc) berbicara dengan operator langsung 2 klaim 0871277810910p/mnt (18+),spam
"Bagus! Ya, kita harus berbicara pada hari Jumat - diperlukan rasio telur-kentang untuk tortilla!",ham
Hmm...pamanku baru saja memberitahuku bahwa dia membayar biaya sekolah secara langsung. Jadi tolong beli makanan.,ham
PRIBADI! Laporan Rekening Anda tahun 2004 untuk 07742676969 menunjukkan 786 Poin Bonus yang belum ditukarkan. Untuk klaim hubungi 08719180248 Kode Pengenal : 45239 Kedaluwarsa,spam
"MENDESAK! Nomor Ponsel Anda dianugerahi Hadiah Bonus Penelepon £2000 pada 5/9/03 Ini adalah upaya terakhir kami untuk menghubungi Anda! Telepon dari Telepon Rumah 09064019788 BOX42WR29C, 150PPM",spam
ini alamat baruku -apel&pasangan&semua omong kosong itu,ham
Nomor Voda hari ini yang berakhiran 7548 dipilih untuk menerima penghargaan $350. Jika Anda memiliki kecocokan silakan hubungi 08712300220 dengan mengutip kode klaim 4041 tarif standar aplikasi,spam
Saya akan ke sao mu hari ini. Hanya akan dilakukan pada jam 12,ham
ÌÏ memperkirakan jam berapa Ì_ akan selesai membeli?,ham
"Barang bagus, cukup.",ham
"Asal tahu saja, yetunde belum mengirimkan uang. Aku baru saja mengiriminya SMS agar tidak perlu repot mengirimnya. Jadi sudah berakhir, Anda tidak perlu melibatkan diri dalam hal apa pun. Seharusnya aku tidak memaksakan apa pun padamu sejak awal, jadi untuk itu, aku minta maaf.",ham
Apakah Anda ada di ruangan itu?,ham
HEY GADIS. APA KABAR? HARAPAN KAMU BAIK AKU DAN DEL R BAK! LAGI LAMA WAKTU TIDAK C! BERIKAN SAYA WAKTU PANGGILAN DARI LUCYxx,ham
K..k :) berapa biayanya?,ham
Saya pulang.,ham
"Sayang, aku akan menghubungi Tmorrow.pls untuk mengakomodasi.",ham
Jawab dulu pertanyaanku.,ham
"Kuis Sinar Matahari Mingguan Q! Menangkan pemutar DVD Sony terbaik jika Anda tahu di negara mana Algarve berada? Txt ansr ke 82277. å£1,50 SP:Tyrone",spam
Ingin 2 bercinta malam ini? Ingin lokasi Dogging asli dikirim langsung ke 2 gerombolan Anda? Bergabunglah dengan Jaringan Dogging terbesar di Inggris dengan Txting GRAVEL ke 69888! tidak. ec2a. 31p.msg@150p,spam
Saya hanya punya satu msn. Ini yijue@hotmail.com,ham
Dia disana. Anda menelepon dan menemuinya,ham
Tidak tidak. Saya akan memeriksa semua ruangan sebelum beraktivitas,ham
"Anda tidak akan menerima pesan apa pun lagi dari obrolan svc. Untuk layanan Tegar GRATIS, SMS BUKA ke: 69988 Jika Anda tidak mendapatkan apa pun, Anda harus Verifikasi Usia dengan jaringan Anda & coba lagi",spam
Dapat c... Saya malas mengetik... Saya lupa Ì_ di lect... Saya melihat kantong tapi sepertinya tidak bagus...,ham
"K, kirimi aku pesan saat kamu dalam perjalanan",ham
"Pak, Menunggu surat Anda.",ham
"Sebuah pemikiran swt: \Jangan pernah bosan melakukan hal-hal kecil 4 orang yang menyenangkan..\"" Karena..terkadang hal-hal kecil itu menempati bagian terbesar di Hati mereka.. Gud ni8""",ham
Aku tahu kamu memang begitu. Bisakah Anda membuka bagian belakangnya?,ham
"Ya sampai jumpa, jangan langsung",ham
Siapa nama staf yang mengambil kelas untuk kita?,ham
"FreeMsg Kenapa kamu belum membalas SMSku? Saya Randy, seksi, perempuan dan tinggal lokal. Senang mendengar kabar darimu. Netcollex Ltd 08700621170150p per pesan balasan Berhenti untuk mengakhiri",spam
Ummma.akan menelepon setelah check-in. hidup kita akan dimulai dari qatar jadi mohon berdoa dengan sungguh-sungguh.,ham
"K..saya menghapus kontak saya, itu sebabnya?",ham
Sindu mendapat pekerjaan di birla soft..,ham
Anggurnya mengalir dan aku belum pernah..,ham
Yup menurutku filmnya lebih bagus karena tidak perlu 2 turun 2 plaza mah.,ham
Oke... Balasan khas Anda...,ham
"Sesuai permintaan Anda, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' telah ditetapkan sebagai nada pemanggil Anda untuk semua Penelepon. Tekan *9 untuk menyalin Callertune teman Anda",ham
"Kamu ada dimana-mana di tanah, di lantai, di jendela, bahkan di bajuku. Dan terkadang saat aku membuka mulut, hanya kamulah yang keluar. Aku memimpikan duniaku tanpamu, lalu separuh tugasku pun tersingkir. Saat yang menyenangkan bagi saya, banyak acara TV yang akan saya tonton. Tapi menurutku, seperti semua hal, kamu pasti ada, seperti hujan, hujan es, dan kabut, dan ketika waktuku di sini selesai, kamu dan aku menjadi satu.",ham
Aaoooo benarkah kamu sedang bekerja?,ham
aku akan meninggalkan rumahku sekarang...,ham
Halo cintaku. Apa yang sedang kamu lakukan? Apakah Anda menghadiri wawancara itu hari ini? Apakah kamu bahagia? Apakah kamu menjadi anak yang baik? Apakah kamu memikirkanku? Apakah kamu merindukanku?,ham
Pengumuman layanan pelanggan. Anda memiliki kiriman Tahun Baru yang menunggu Anda. Silakan hubungi 07046744435 sekarang untuk mengatur pengiriman,spam
Anda adalah pemenang Anda telah dipilih secara khusus 2 menerima uang tunai å£1000 atau liburan 4* (penerbangan inc) berbicara dengan operator langsung 2 klaim 0871277810810,spam
Jaga dirimu tetap aman untukku karena aku membutuhkanmu dan aku sudah merindukanmu dan aku iri pada semua orang yang melihatmu di kehidupan nyata,ham
Mobil dan rumah baru untuk orang tua saya. :) Saya hanya punya pekerjaan baru :),ham
Aku sangat mencintaimu. Aku senang setiap hari yang kuhabiskan bersamamu. Anda membuat saya sangat bahagia.,ham
-PLS STOP bootydelious (32/F) mengundang Anda untuk menjadi temannya. Jawab YA-434 atau TIDAK-434 Lihat dia: www.SMS.ac/u/bootydelious STOP? Kirim STOP FRND ke 62468,spam
"BangBabes Pesanan Anda sedang dikirim. Anda HARUS menerima Pesan Layanan 2 mengunduh konten Anda. Jika tidak, GoTo wap. bangb. tv di menu internet/layanan seluler Anda",spam
Saya sudah menempatkan semua poin Anda pada modul e-culture.,ham
MENDESAK! Kami mencoba menghubungi Anda. Pengundian akhir pekan lalu menunjukkan bahwa Anda telah memenangkan hadiah å£900 DIJAMIN. Hubungi 09061701939. Kode klaim S89. Hanya berlaku 12 jam,spam
"Hai kawan, manakah cara terbaik untuk menghindari kesalahpahaman dengan orang yang kita cintai?",ham
Pelarian yang hebat. Aku suka jembatannya tapi butuh birnya. Sampai jumpa besok,ham
